Name,Price,Bottle size
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">FRATELLI MS SANGIOVESE ROSE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1250.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-441"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">FRATELLI NOI SPARKLING</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>980.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-443"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">FRATELLI NOI SPARKLING ROSE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>980.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1948"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">FRATELLI SANGIOVESE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1050.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-445"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">FRATELLI SANGIOVESE BIANCO</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>900.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-448"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">FRATELLI SAUVIGNON BLANC</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>775.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-459"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">FRATELLI SETTE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>2000.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-452"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">FRATELLI SHIRAZ</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>850.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-900"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">FRATELLI SHIRAZ ROSE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>750.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-462"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">FRATELLI SIDUS PORT WINE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>270.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1360"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">FRATELLI VERO BIANCO</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>425.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-713"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">FRATELLI VERO ROSSO</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>450.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-714"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">FRATELLI ZIVA RED</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>450.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2055"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">FRATELLI ZIVA ROSE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>450.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2056"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">FRATELLI ZIVA WHITE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>450.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2057"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">GROVER ART COLLECTION CABERNET SHIRAZ</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>785.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-461"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">GROVER ART COLLECTION CHENIN BLANC</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>785.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-460"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">GROVER ART COLLECTION MERLOT</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>785.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-509"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">GROVER ART COLLECTION RIESLING</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>940.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1361"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">GROVER ART COLLECTION ROSE WINE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>785.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2263"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">GROVER ART COLLECTION SAUVIGNON BLANC</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>785.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2266"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">GROVER ART COLLECTION SHIRAZ RED WINE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>785.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2267"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">GROVER ART COLLECTION VIOGNIER</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>785.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1368"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
